,,,,,,,,,,,,,,,,
נושא,כותרת,שאלת אמת/שקר,התשובה,ההסבר- חשיפת התוצאה,שם החוק- בקטן,תכלס- בגדול,תאריך,תיאור ההצבעה (נחשף כאשר לוחצים על שם החוק) או לעשות כפתור- להרחבה על החוק,תוצאות ההצבעה,voteId,קישור לכנסת,סטטוס,הרחבה- בסוף הסבב,מילות הרחבה,הערות או תוספות נוספות,
דת ומדינה,חוק הגיוס,"צעירים חרדים מהווים בפוטנציאל רבע ממחזור הגיוס לצה""ל",אמת,זה נכון! החרדים מהווים כיום 14% מהאוכלוסייה ורבע ממחזור הגיוס אולם בשנת 2050 הם צפויים להיות רבע מהאוכלוסייה ו-41% ממחזור הגיוס!,החלת דין רציפות  על חוק הגיוס,פטור משירות עבור החרדים - בעד או נגד?,10 ביוני 2024,"הצעת החוק היא להמשיך לקדם את חוק הגיוס (שנועד לאפשר פטור לבני ישיבות מצה""ל) מהכנסת הקודמת בלי להתחיל את החקיקה מאפס. בפועל: פטור מגיוס לרוב בני הישיבות, עם יעדי גיוס הדרגתיים. ",עבר 63 מול 57.,41074,לצפייה,מאושר," סרטון- ההיסטוריה של חוק הגיוס
חומרים נוספים","דין רציפות, פטור משירות, בני ישיבות (להדגיש שהם מקבלים תקצוב על שהותם בישיבה)",,
כלכלה וחברה,עלויות המלחמה,"מיד לאחר פרוץ מלחמת ""חרבות ברזל"", החליטה הממשלה לבטל לחלוטין את כל ""הכספים הקואליציוניים"" בתקציב המדינה, ולהעביר את כל המיליארדים הללו ישירות למימון הוצאות הלחימה, שיקום העוטף והסיוע למפונים",שקר,"זה לא נכון, הממשלה אמנם קיצצה ושינתה חלק מהיעדים של הכספים הקואליציוניים בעקבות המלחמה כדי להפנות תקציבים לביטחון, אך היא לא ביטלה אותם לחלוטין. מיליארדי שקלים מתוך הכספים הללו נשארו בתקציב המדינה והמשיכו לעבור למטרות מגזריות ופוליטיות שונות, דבר שעורר ביקורת ציבורית וכלכלית רבה.",חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2026),האם לגבות מיסים נוספים מהאזרחים על מנת לצמצם את חובות המדינה שנוצרו במלחמה- בעד או נגד,30 במרץ 2026,"חוק ההתייעלות הוא אוסף של גזירות ורפורמות כלכליות, שנועדו להכניס כסף בדחיפות לקופת המדינה כדי לכסות את הגירעון המלחמה. בשביל האזרח הפשוט, זה אומר בעיקר לשלם יותר מסים (כמו עליית המע""מ ל-18% שמייקרת כל קנייה), לצד ניסיון לפתוח את השוק לתחרות כדי להוריד את יוקר המחיה בעתיד. 
","החוק עבר: 62 חברי כנסת הצביעו בעד, מול 55 שהצביעו נגד.",,לצפייה,מאושר,,"כספים קואליציונים, מגזריות",,
כלכלה וחברה,יוקר המחייה,"ישראל מרגישה יקרה, אבל כשמשווים למדינות ה־OECD – המחירים אצלנו בערך ממוצעים.",שקר,זה לא נכון! ישראל נמצאת בין חמש המדינות בעלות רמת המחירים הגבוהה ביותר ב־OECD. מחירי המזון בישראל הם מהגבוהים בארגון.,"פיקוח על רווחי שיווק בתוצרת חקלאית, התשפ""ה-2024",האם להגביל את המחירים שרשתות השיווק מוכרות פירות וירקות- בעד או נגד?,24 יוני 2026,ההצעה ביקשה שהמדינה תקבע רווח מרבי שמותר לגבות על פירות וירקות. המטרה: לצמצם את הפער בין המחיר שהחקלאי מקבל לבין המחיר שאנחנו משלמים בחנות. תומכי ההצעה אמרו שצריך להגביל את הרווחים כדי להוזיל מחירים. המתנגדים חשבו שהתערבות כזו של המדינה בשוק עלולה לפגוע בתחרות ולא בהכרח להוזיל את המחירים.. ,"ההצעה לא עברה  27 ח""כ הצביעו בעד ו 42 הצביעו נגד.",פ/5229/25,לצפייה,מאושר,סרטון - מה הוא פיקוח על מחירים? |פורום אורלוזורוב,מדינות ה-OECD,הפיקוח על המזון בישראל- מאת מבקר המדינה,עוד על יוקר המחייה בישראל
מי מחליט פה? הפרדת רשויות,חוק המשטרה של בן-גביר,השר לביטחון לאומי רשאי להורות למשטרה את מי לחקור.,שקר,"זה לא נכון, ""חוק בן-גביר"" מ-2022 ביקש לתת לשר לביטחון לאומי להתוות מדיניות כללית למשטרה, כולל בתחום החקירות. אבל ב-2024 בג""ץ פסל את סעיף החקירות וקבע: השר קובע מדיניות כללית ואסור לו להתערב בחקירות ובפעולות ספציפיות.","תיקון פקודת המשטרה (""חוק בן-גביר"")",לאפשר לשר לביטחון לאומי להורות למשטרה איך לפעול בפעולות ספציפיות- בעד או נגד,28 בדצמבר 2022,"המשטרה תהיה כפופה לממשלה, והשר לביטחון לאומי מתווה את מדיניותה - תוכניות עבודה, סדרי עדיפויות, ואפילו מדיניות חקירות. החוק נחקק בהליך בזק לפני השבעת הממשלה, כתנאי של בן-גביר לכניסה לקואליציה.", החוק עבר ב-61 קולות מול 55 שהיו נגד.,37885,לצפייה,מאושר,להרחבה,"ביטחון פנים, בג""ץ",,
מי מחליט פה? הפרדת רשויות,יעוץ משפטי,"הממשלה מנהלת את המדינה, ולכן אם היא סבורה שמדיניות מסוימת חיונית לטובת המדינה, היא יכולה לפעול גם מחוץ למגבלות של החוק.",שקר,"זה לא נכון. עקרון שלטון החוק אומר שכל אדם, ובכלל זה רשויות השלטון והאכיפה, פועלים במסגרת החוק והכללים שנקבעו להם. העובדה שלממשלה יש סמכות וכוח רבים אינה פוטרת אותה ממגבלות אלה - להפך, דווקא הכוח הרב שבידה מחייב קיומן של מגבלות.","חוק היועץ המשפטי לממשלה (חוות דעת, ייצוג ופיקוח), התשפ""ו-2026","חוות הדעת של היועמ""ש היא המלצה בלבד, והממשלה יכולה לפעול גם בניגוד להמלצתו ולמצוא עו""ד אחר בעת הצורך - בעד או נגד?",15 ביולי 2026,"לפי החוק עצותיו המשפטיות של היועמ""ש אינן מחייבות את הממשלה, והיא רשאית להתעלם מהן או לקחת עורך דין פרטי שייצג אותה בבג""ץ במקומו. תומכי החוק טענו שהממשלה הנבחרת צריכה להיות רשאית לקבל החלטות גם כאשר אינה מקבלת את עמדת היועמ""שית. מתנגדי החוק טענו שהייעוץ המשפטי העצמאי חיוני כדי לוודא שהממשלה פועלת במסגרת החוק. ","החוק עבר ברוב של 65 חברי כנסת שתמכו בו מול 51 שהתנגדו. החוק יכנס לתוקפו ב 1/1/2027 עד אז חוות הדעת של היעוץ המשפטי מחייבת את הממשלה, אבל זה עומד להשתנות. ",,לצפייה,מאושר,שאלות ותשובות לגבי החוק באתר האגודה לזכויות האזרח,"יועמ""ש, יצוג בבג""ץ",פרק בסדרה- שופטים בשר ודם בנושא שלטון החוק,
מגדר ושוויון,הפרדה מגדרית באקדמיה,"בג""ץ אישר בעבר לימודים בהפרדה בין גברים לנשים באוניברסיטאות.",אמת,"זה נכון - וזה מפתיע הרבה אנשים. ב-2021 בג""ץ אישר לימודים בהפרדה מגדרית לציבור החרדי, אבל רק לתואר ראשון, רק בכיתות הלימוד, ובתנאי שמרצות לא יופלו. הצעת החוק החדשה רוצה להרחיב את זה הרבה מעבר.",הרחבת הלימודים בהפרדה מגדרית לתארים מתקדמים,לאפשר אקדמיה בהפרדה מגדרית - בעד או נגד?,קריאה טרומית: דצמבר 2024,"לאפשר מסלולים בהפרדה בין גברים לנשים גם בתואר שני ושלישי, בכל מוסד אקדמי, לכל מי שמבקש ""מטעמי דת"". 
תומכים: הנגשת אקדמיה לחרדים. 
מתנגדים: הדרת נשים ופגיעה בשוויון בין גברים לנשים באקדמיה.
",ביולי 2026 אושרה בוועדת החינוך לקריאה שנייה ושלישית.,,"לצפייה

",מאושר," 
כתבה של כאן 11 בנושא
","קריאה טרומית, טעמי דת, ועדת החינוך",עוד סרטון- הסבר של גאיה גפן על המהלך של החוק,
מגדר ושוויון,איזוק אלקטרוני,"בשנים 2024–2025, מעל 50% מהנשים שנרצחו על רקע מגדרי/משפחתי היו מוכרות מראש לגורם רשמי כלשהו ",אמת,"זה נכון, לפי דוחות מעקב של שדולת הנשים ופורום מיכל סלה, מעל 50% מהנשים שנרצחו על רקע מגדרי/משפחתי היו מוכרות מראש לגורם רשמי כלשהו (משטרה, רווחה, קווי חירום או מוסדות רפואיים). 
נתון שכדאי לדעת הוא שירי בנשק חם היה אמצעי הרצח בכ-50% מכלל מקרי רצח הנשים בשנת 2025.",חוק האיזוק האלקטורני,"האם לאפשר פיקוח של אזיק אלקטרוני על אדם שניתן נגדו צו הגנה בגין אלימות במשפחה, כדי למנוע ממנו להתקרב לנפגע/ת.",22 במרץ 2023,"
מכיוון שזו הייתה הצעה פרטית חדשה, היא נאלצה להתחיל מ""אפס"", כלומר מהקריאה הטרומית ושם היא נפלה על חודו של קול. השר איתמר בן גביר טען שנוסח החוק ""פרוץ"" מדי ויפגע בגברים בגלל תלונות שווא. ההפלה של החוק לוותה במחאה סוערת במליאה. ","הקואליציה הפילה במליאת הכנסת את הצעת החוק המקורית (שקידם שר המשפטים לשעבר גדעון סער) ברוב זעום של 54 מתנגדים מול 53 תומכים. ההפלה של החוק לוותה במחאה סוערת במליאה. בעקבות הביקורת הציבורית והפוליטית, השר לביטחון לאומי איתמר בן-גביר ושר המשפטים יריב לוין סיכמו על קידום הצעת חוק ממשלתית חלופית. הנוסח החדש הציב תנאי סף נוקשים, ובראשם חובת עבר פלילי, כתב אישום או חקירה פעילה נגד בן הזוג המאיים כתנאי לשימוש באיזוק. ב-30 ביולי 2023 מליאת הכנסת אישרה בקריאה שנייה ושלישית את ""חוק למניעת אלימות במשפחה (תיקון מס' 19 – הוראת שעה)"". החוק אושר במתכונתו המרוככת כהוראת שעה לשלוש שנים.
",,,,על האיזוק האלקטרוני והישום שלו,V,,
אחריות ציבורית,ועדת חקירה ל-7/10,ועדת החקירה הממלכתית לאירועי ה 7/10 מיועדת להגיש את מסקנותיה על התפקוד של הממשלה ב 7/10 בסוף שנת 2026,שקר,"זה לא נכון - נכון לספטמבר 2026 לא הוקמה ועדת חקירה ממלכתית. במקום זאת הממשלה מקדמת חוק לוועדת חקירה ממשלתית, כלומר ועדה שמוקמת על ידי השרים או הממשלה, והם גם בוחרים את חבריה ואת ראש הוועדה ומחוקקים לשם כך חוק. 
",ועדת חקירה ממשלתית במינוי פוליטי לאירועי 7/10 (הצעת קלנר),להקים ועדת חקירה שתבחר על ידי חברי הממשלה לחקור את אירועי ה 7/10- בעד או נגד?,24 בדצמבר 2025,"במקום ועדה ממלכתית שממנה נשיא בית משפט העליון, תוקם ועדה שהממשלה ממנה.
",עברה בקריאה טרומית 53 מול 48 בזמן שמשפחות שכולות מחו ביציע והפנו גב לנואם.,44946,לצפייה,מאושר,סרטון- מה ההבדל בין ועדת חקירה ממלכתית לממשלית,"בית משפט העליון, ועדת חקירה ממלכתית, ועדת חקירה ממשלתית, מינוי פוליטי",,
אחריות ציבורית,חסינות חברי כנסת,לחברי כנסת יש חסינות  ולכן אי אפשר להעמיד לדין חבר כנסת כל עוד הוא מכהן.,שקר,"זה לא נכון. לח""כים יש חסינות רק על פעולות שנעשו במסגרת תפקידם - לא על עבירות פליליות. כבר היו מקרים בהם ח""כים ושרים נחקרו, הועמדו לדין ואף ישבו בכלא. הצעת חוק חדשה ביקשה להרחיב את החסינות מעבר לגבולות התפקיד הרשמי שלהם.","הרחבת החסינות: אין חקירה נגד ח""כ בלי אישור של 90 ח""כים","לא לאפשר חקירה נגד חבר כנסת על עבירה שעשה בלי אישור של 90 ח""כים - בעד או נגד?",4 בדצמבר 2024,"לא תיפתח חקירה פלילית נגד חבר כנסת אלא אם 90 ח""כים אישרו שהמעשה לא קשור לתפקידו. לא חל על שוחד ומרמה. 
",עברה בקריאה טרומית 57 מול 53.,,לצפייה,אושר,כתבה על הרחבת החסינות לטלי גוטליב,חסינות,,
מדיני-ביטחוני,שיתוף פעולה בין הרשות הפלסטינית למדנית ישראל,מתקיימים כיום שיתופי פעולה בין הרשות הפלסטינית למדינת ישראל,אמת,"זה נכון! למרות המתיחות והיעדר תהליך שלום, ישראל והרשות הפלסטינית מקיימות שיתוף פעולה הדוק מתוך אינטרס הדדי. תיאום זה מתמקד בביטחון (סיכול טרור ומניעת התחזקות חמאס), בכלכלה (תעסוקת פועלים והעברת כספי מסים) ובמישור האזרחי (ניהול מים, חשמל, בריאות וסחורות).","הצהרה נגד הקמת מדינה פלסטינית- ""הצהרות ופרסומים בעולם בנושא הכרה במדינה פלסטינית והצורך בהערכות ישראלית לאתגר מדיני אפשרי""",האם נרצה שתקום כאן יום אחד מדינה פלסטינית- בעד נגד?,18 ביולי 2024,"הכנסת מתנגדת להקמת מדינה פלסטינית ממערב לירדן"" — הצהרה שיזמו סיעות הימין ימים לפני נסיעת נתניהו לוושינגטון. ","עברה 68 מול 9. הצעות נגדיות של רע""ם וחד""ש-תע""ל להכרה במדינה פלסטינית נדחו 62 מול 9.",ההצבעה במליאה,לצפייה,אושר,,הרשות הפלסטינית,,
